text,label
"The government announced a new policy to increase funding for public education by 15 percent starting next fiscal year. The education minister confirmed the details at a press conference held at the capital.",REAL
"BREAKING: Scientists discover that drinking bleach cures all known diseases! Hospitals around the world are reportedly shutting down as everyone is now cured.",FAKE
"The stock market saw a modest gain of 0.8 percent today as investors reacted positively to the latest employment data released by the Bureau of Labor Statistics.",REAL
"SHOCKING: Secret underground alien base found beneath the White House! Government officials have been hiding extraterrestrial technology for decades according to leaked documents.",FAKE
"A magnitude 5.2 earthquake struck the coastal region early this morning. No casualties were reported but some buildings sustained minor structural damage according to emergency services.",REAL
"Celebrity secretly a robot! Hollywood actor revealed to be an advanced AI created by a shadowy tech corporation to control the entertainment industry and manipulate public opinion.",FAKE
"The city council approved a new budget allocation for infrastructure improvements including road repairs and bridge maintenance. The projects are expected to create approximately 500 local jobs.",REAL
"URGENT: WiFi signals proven to cause immediate brain damage! Scientists warn everyone to disconnect immediately or risk permanent cognitive impairment within hours of exposure.",FAKE
"Researchers at the university published findings showing that regular exercise can reduce the risk of heart disease by up to 30 percent. The study followed 10000 participants over a decade.",REAL
"Moon landing was filmed in a Hollywood studio! Newly leaked footage shows the entire space program was an elaborate hoax designed to win the Cold War propaganda battle.",FAKE
"The central bank maintained interest rates at their current level citing stable inflation and moderate economic growth. Analysts widely expected the decision based on recent economic indicators.",REAL
"EXPOSED: Popular fast food chain uses human meat in their burgers! Former employees come forward with disturbing allegations about the companys secret ingredient sourcing.",FAKE
"Heavy rainfall caused flooding in several low-lying areas of the district. Emergency response teams evacuated over 200 families and set up temporary shelters at local community centers.",REAL
"Drinking hot water with lemon every morning will make you lose 50 pounds in one week without any exercise or diet changes! Doctors hate this simple trick!",FAKE
"The international trade agreement was signed by representatives of twelve nations. The deal is expected to reduce tariffs on agricultural products and boost cross-border commerce significantly.",REAL
"BOMBSHELL: World leaders are actually shape-shifting lizard people! Whistleblower provides photographic evidence of politicians transforming during a secret meeting at an undisclosed location.",FAKE
"Air quality levels improved significantly in the metropolitan area following the implementation of new emission standards for industrial facilities according to the environmental protection agency.",REAL
"Scientists confirm that the Earth is actually flat! NASA has been lying for decades and all satellite images are computer generated fakes to maintain the round Earth conspiracy.",FAKE
"The pharmaceutical company received regulatory approval for its new diabetes medication after successful Phase 3 clinical trials showed significant improvement in blood sugar management.",REAL
"ALERT: 5G towers are spreading a new deadly virus! Telecommunications companies are secretly working with pharmaceutical giants to create customers for their new vaccine products.",FAKE
"Local farmers reported a better than expected harvest this season despite earlier concerns about drought conditions. Agricultural experts attribute the improved yields to new irrigation techniques.",REAL
"Famous pop star confirmed as leader of secret illuminati cult! Leaked emails reveal plans for world domination through subliminal messages hidden in popular music tracks.",FAKE
"The transportation department announced plans to extend the metro rail system to three additional suburbs. Construction is scheduled to begin next year with completion expected within four years.",REAL
"Eating chocolate cake for breakfast helps you lose weight faster than any diet! A fake study from a nonexistent university proves that dessert is the key to fitness.",FAKE
"Consumer spending rose by 2.3 percent in the last quarter reflecting growing confidence in the economy. Retail sectors particularly benefited from the holiday shopping season surge.",REAL
"BREAKING: Vaccines contain microchips that allow the government to track your every movement! A supposed whistleblower claims to have found nanobots in vaccine vials using a microscope.",FAKE
"The wildlife conservation project successfully reintroduced 50 endangered species into their natural habitat. Researchers will continue monitoring the population over the next five years to ensure sustainability.",REAL
"Ancient civilization discovered on Mars by amateur astronomer! NASA is allegedly suppressing the images that clearly show pyramids and canals on the Martian surface taken by rovers.",FAKE
"The new highway bypass reduced commute times by an average of 25 minutes for residents in the eastern corridor according to a traffic study conducted by the urban planning department.",REAL
"Your microwave oven is secretly recording your conversations and sending them to intelligence agencies! A conspiracy theorist claims to have found hidden transmitters inside common kitchen appliances.",FAKE
"The annual technology conference attracted over 50000 attendees from around the world. Major announcements included advances in artificial intelligence and renewable energy storage solutions.",REAL
"PROVEN: Sleeping less than 2 hours a night makes you smarter! A completely fabricated study shows that sleep deprivation activates hidden brain functions that increase intelligence dramatically.",FAKE
"Hospital administrators reported a 15 percent decrease in emergency room wait times following the implementation of a new digital triage system and additional staffing during peak hours.",REAL
"Government installing mind control devices in all new cars! Anyone who purchases a vehicle manufactured after 2020 is allegedly being subjected to subliminal programming through the infotainment system.",FAKE
"The renewable energy sector added 45000 new jobs last year as solar and wind power installations continued to expand. Industry leaders predict continued growth driven by falling technology costs.",REAL
"Drinking gasoline in small amounts boosts your immune system! A viral social media post claims that petroleum products contain secret nutrients that pharmaceutical companies do not want you to know about.",FAKE
"Public health officials confirmed that vaccination rates in the region reached 85 percent exceeding the target set at the beginning of the immunization campaign last spring.",REAL
"TIME TRAVELER from 2050 warns of impending asteroid impact! A man claiming to be from the future provides zero evidence but his story goes viral on social media platforms.",FAKE
"The museum opened its new exhibition featuring artifacts from ancient civilizations. Curators spent three years assembling the collection which includes items on loan from institutions across the globe.",REAL
"SHOCKING REPORT: Trees are actually sentient beings that scream in pain when cut down! Environmental activists use this baseless claim to push extreme deforestation policies worldwide.",FAKE
"Quarterly earnings for the tech sector exceeded analyst expectations with major companies reporting strong revenue growth driven by cloud computing services and enterprise software demand.",REAL
"Exposed: The moon is actually a giant spacecraft placed in orbit by an ancient alien civilization to monitor human activity on Earth! A conspiracy documentary makes these wild unsubstantiated claims.",FAKE
"The city fire department responded to 340 emergency calls last month. The chief attributed the increase in calls to seasonal weather patterns and urged residents to follow fire safety guidelines.",REAL
"MIRACLE CURE: Rubbing onions on your feet while you sleep cures cancer diabetes and heart disease overnight! Thousands share this completely false medical advice on social media daily.",FAKE
"International climate talks concluded with participating nations agreeing to reduce carbon emissions by 40 percent by 2035. The agreement includes provisions for financial support to developing countries.",REAL
"SECRET DOCUMENT reveals that birds are not real and are actually government surveillance drones! A satirical conspiracy theory is being taken seriously by thousands of gullible social media users.",FAKE
"The university research team developed a new biodegradable plastic alternative made from seaweed. Early testing shows it decomposes within 90 days compared to hundreds of years for traditional plastics.",REAL
"GOVERNMENT CONFESSION: Officials admit that chemtrails are being used to control the weather and modify human behavior! This completely fabricated story continues to circulate on fringe websites.",FAKE
"Local school district reported improved standardized test scores across all grade levels. Educators credit the improvement to smaller class sizes and enhanced tutoring programs implemented last year.",REAL
"EXPOSED: All bottled water companies are adding fluoride to make the population more obedient! A conspiracy theorist with no chemistry background makes these unfounded allegations in a viral video.",FAKE
"The national weather service issued a winter storm warning for the northeastern region with expected snowfall of 8 to 12 inches. Residents are advised to prepare for hazardous travel conditions.",REAL
"Eating only raw meat for 30 days will give you superhuman strength and night vision! A dangerous health trend spreads online despite warnings from medical professionals about serious infection risks.",FAKE
"The central bank released its quarterly economic report showing steady GDP growth of 2.1 percent. Inflation remained within target range while unemployment continued its gradual downward trend.",REAL
"YOUR PHONE IS SPYING ON YOU THROUGH YOUR CAMERA EVEN WHEN IT IS OFF! A tech conspiracy channel claims that all smartphones have secret always-on surveillance that cannot be disabled.",FAKE
"Agricultural exports increased by 18 percent this year driven by strong international demand for grain and soybean products. Trade officials expect the trend to continue into the next fiscal year.",REAL
"PLANET NIBIRU is on a collision course with Earth! Astronomers are allegedly hiding the truth about the rogue planet that will supposedly destroy civilization by the end of this year.",FAKE
"The public library system expanded its digital lending program allowing residents to borrow ebooks and audiobooks from home. The program saw a 60 percent increase in usage during its first month.",REAL
"TERRIFYING: Tap water turns people into zombies! A viral post claims that chemicals in municipal water supplies are creating mindless obedient citizens who cannot think for themselves.",FAKE
"Construction of the new community hospital is on schedule with completion expected by the end of next year. The facility will include 200 beds and a state of the art emergency department.",REAL
"SCIENTISTS BAFFLED: Man lives for 200 years by eating only garlic and honey! This obviously fabricated story about immortality through diet goes viral despite being completely made up.",FAKE
"The automotive industry reported record electric vehicle sales last quarter with a 35 percent increase over the same period last year. Consumer incentives and expanded charging infrastructure drove the growth.",REAL
"BREAKING NEWS: Popular social media platform secretly replacing all user photos with AI generated versions! A baseless conspiracy theory spreads panic among millions of users worldwide.",FAKE
"Municipal water treatment facilities completed their annual upgrades ensuring compliance with federal safety standards. Water quality testing showed all parameters within acceptable limits for drinking water.",REAL
"ALERT: Grocery stores are lacing fresh produce with mind control drugs! A anonymous post with zero evidence claims that fruits and vegetables are being used to make people more compliant.",FAKE
"The national parks service reported record visitor numbers this summer with over 30 million people visiting parks across the country. Officials credited improved facilities and new trail systems for the increase.",REAL
"PROOF: Dolphins are actually evolved humans who returned to the ocean to escape government surveillance! A marine biologist who does not exist supposedly made this ridiculous claim.",FAKE
"Regional unemployment dropped to 4.2 percent the lowest level in fifteen years. Job growth was strongest in the technology healthcare and professional services sectors according to labor statistics.",REAL
"WARNING: Wearing blue clothing on Tuesdays attracts lightning! A fake meteorologist claims to have discovered a link between clothing color and electrical storms in a nonpeer reviewed paper.",FAKE
"The space agency successfully launched a new communications satellite that will provide broadband internet access to remote rural communities. The satellite is expected to be fully operational within three months.",REAL
"INCREDIBLE: Student discovers that homework is actually a form of government mind control designed to suppress creative thinking and independent thought in young people! This absurd claim goes viral.",FAKE
"The annual jobs report showed the economy added 250000 new positions last month exceeding forecasts. The strongest growth sectors were healthcare technology and professional business services.",REAL
"EXPOSED: All commercial airlines secretly equipped with weather manipulation devices! Pilots are allegedly sworn to secrecy about the true purpose of contrails left behind by aircraft engines.",FAKE
